part_id,color,x,y,z,a,b,c,d,e,f,g,h,i,part,part_name,part_cat_id,year_from,year_to,category_name,dim1,dim2,dim3,bracket_info
160,0,0.0,-66.0,178.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,3666,Plate 1 x 6,14.0,1977.0,2025.0,Plates,1.0,6.0,,
161,0,-40.0,-66.0,178.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,85984,Slope 30° 1 x 2 x 2/3,3.0,2009.0,2025.0,Bricks Sloped,1.0,2.0,2/3,
162,0,0.0,-66.0,178.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,85984,Slope 30° 1 x 2 x 2/3,3.0,2009.0,2025.0,Bricks Sloped,1.0,2.0,2/3,
163,0,40.0,-66.0,178.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,85984,Slope 30° 1 x 2 x 2/3,3.0,2009.0,2025.0,Bricks Sloped,1.0,2.0,2/3,
164,40,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,57783,Windscreen 3 x 4 x 1 1/3 Large Glass Surface,47.0,2007.0,2025.0,Windscreens and Fuselage,3.0,4.0,1,
165,15,0.0,-8.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,87079,Tile 2 x 4 with Groove,19.0,2010.0,2025.0,Tiles,2.0,4.0,,
166,71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,44294,Technic Axle 7,46.0,2003.0,2025.0,Technic Axles,,,,
167,71,65.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,32123b,Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced,54.0,2003.0,2025.0,Technic Bushes,,,,
168,71,60.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,55982,"Wheel 18mm x 14mm with Axle Hole, Fake Bolts and Shallow Spokes",29.0,2006.0,2025.0,Wheels and Tyres,,,,
169,256,60.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,18977,Tyre 24 x 12 Low Profile,29.0,2015.0,2025.0,Wheels and Tyres,24.0,12.0,,
170,71,-60.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,55982,"Wheel 18mm x 14mm with Axle Hole, Fake Bolts and Shallow Spokes",29.0,2006.0,2025.0,Wheels and Tyres,,,,
171,256,-60.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,18977,Tyre 24 x 12 Low Profile,29.0,2015.0,2025.0,Wheels and Tyres,24.0,12.0,,
172,71,-65.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,32123b,Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced,54.0,2003.0,2025.0,Technic Bushes,,,,
173,25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3024,Plate 1 x 1,14.0,1962.0,2025.0,Plates,1.0,1.0,,
174,25,0.0,-24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,59900,Cone 1 x 1 [Top Groove],20.0,2006.0,2025.0,Bricks Round and Cones,1.0,1.0,,Top Groove
175,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3815b,,,,,,,,,
176,0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3816b,,,,,,,,,
177,0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3817b,,,,,,,,,
178,70,0.0,-32.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,973,,,,,,,,,
179,70,-15.552,-23.0,0.0,0.985,-0.17,0.0,0.17,0.985,0.0,0.0,0.0,1.0,3818,"Arm, Right",60.0,0.0,0.0,Minifig Upper Body,,,,
180,70,15.552,-23.0,0.0,0.985,0.17,0.0,-0.17,0.985,0.0,0.0,0.0,1.0,3819,"Arm, Left",60.0,0.0,0.0,Minifig Upper Body,,,,
181,14,-23.69,-5.226,-9.898,0.985,-0.12,0.12,0.17,0.696,-0.696,0.0,0.707,0.707,3820,Minifig Hand,60.0,2001.0,2024.0,Minifig Upper Body,,,,
182,14,23.69,-5.226,-9.898,0.985,0.12,-0.12,-0.17,0.696,-0.696,0.0,0.707,0.707,3820,Minifig Hand,60.0,2001.0,2024.0,Minifig Upper Body,,,,
183,14,0.0,-56.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3626cp8s,,,,,,,,,
184,308,0.0,-56.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,62810,"Hair Short, Tousled with Side Part",65.0,2008.0,2025.0,Minifig Headwear,,,,
185,0,40.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2446,"Helmet, Standard",65.0,1987.0,2025.0,Minifig Headwear,,,,
186,47,40.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2447,Headwear Accessory Visor For Standard Helmet,72.0,1987.0,2025.0,Minifig Headwear Accessories,,,,
187,16,0.0,-0.25,0.0,17.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,8.5,box5-12,,,,,,,,,
188,16,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,75895,Sticker Sheet for Set 9558-1,58.0,2012.0,2012.0,Stickers,,,,
189,16,0.0,-0.25,0.0,17.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,8.5,box5-12,,,,,,,,,
190,16,0.0,-0.25,0.0,0.56,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.56,s\75895,,,,,,,,,
191,16,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,75895,Sticker Sheet for Set 9558-1,58.0,2012.0,2012.0,Stickers,,,,
